IUSA Number,Y2019,Y2020,Y2021
42-039-9413,1,1,1
42-039-9661,1,1,1
42-039-9665,1,1,1
42-040-2236,1,1,1
42-040-2237,1,1,1
42-040-2239,1,1,1
42-040-2244,1,1,1
42-040-2263,1,1,1
42-040-2267,1,1,1
42-040-2268,1,1,1
42-040-2290,1,1,1
42-040-2292,1,0,0
42-040-2294,0,1,1
42-040-2296,0,1,1
42-040-2298,1,1,0
42-040-2303,1,1,1
42-111-3430,1,0,0
42-115-7427,2,2,2
42-115-7523,1,1,1
42-118-1152,1,1,1
42-120-8322,1,1,0
42-142-4026,1,1,1
42-168-3263,1,1,1
42-169-0161,1,1,1
42-169-1236,1,1,0
42-169-1249,1,0,0
42-169-1332,1,0,0
42-169-1354,1,1,1
42-170-3189,1,1,1
42-191-9217,1,1,1
42-193-5848,0,1,1
42-194-6574,1,1,1
42-195-3702,1,1,1
42-195-4067,1,1,1
42-196-0761,1,1,1
42-196-2992,1,1,1
42-196-8473,1,1,1
42-197-4412,1,1,1
42-197-7536,1,1,1
42-197-9228,1,1,1
42-197-9892,1,1,1
42-198-0843,1,0,0
42-198-3803,1,1,1
42-198-5399,1,1,1
42-198-8251,1,1,1
42-199-6688,1,1,1
42-199-7615,1,1,1
42-199-8566,1,1,1
42-199-9609,1,0,0
42-200-0694,1,1,1
42-200-1790,1,1,1
42-200-3252,1,1,1
42-200-3960,1,0,0
42-200-4920,1,1,1
42-206-4905,1,0,0
42-206-4908,1,1,1
42-206-5449,1,1,1
42-207-6994,1,0,0
42-207-7007,1,1,1
42-221-0238,1,1,1
42-222-3467,1,1,1
42-222-9051,1,1,1
42-228-5286,0,1,1
42-231-7956,1,1,1
42-231-8654,1,1,1
42-240-3384,1,1,1
42-240-5913,1,1,1
42-240-5926,1,1,1
42-240-6317,1,1,1
42-243-1331,1,0,0
42-243-6416,1,1,1
42-261-8560,1,1,1
42-270-3133,1,1,1
42-280-3000,1,1,1
42-343-9384,1,0,1
42-345-0624,2,2,2
42-347-1011,1,1,1
42-350-6917,0,1,1
42-351-4357,1,1,1
42-356-2965,1,1,1
42-369-5765,1,1,1
42-373-1911,1,1,1
42-374-8909,1,1,1
42-375-2504,1,1,1
42-427-1970,1,1,1
42-454-3976,1,1,1
42-509-1812,1,1,1
42-509-8908,1,1,1
42-512-5480,1,1,1
42-512-8401,1,1,1
42-512-8406,0,1,1
42-513-9978,1,1,1
42-513-9983,1,1,1
42-514-3306,1,1,1
42-519-3770,1,1,1
42-538-6811,1,1,1
42-541-6058,1,1,1
42-541-6065,1,1,1
42-542-1425,1,1,1
42-546-1240,1,1,1
42-547-2422,1,1,1
42-549-3549,1,1,1
42-549-3554,1,1,1
42-553-0320,1,1,1
42-555-5238,1,1,1
42-556-1886,1,1,1
42-556-3389,1,1,1
42-556-3664,1,1,1
42-561-2376,1,1,1
42-561-4045,1,1,1
42-561-8028,1,0,0
42-561-8223,1,0,0
42-562-2973,1,1,1
42-562-3093,1,1,1
42-568-1286,1,1,1
42-568-3931,0,0,1
42-569-0235,1,1,1
42-570-6163,1,1,1
42-570-6226,1,1,1
42-570-8044,1,1,1
42-570-9000,1,1,1
42-570-9646,1,0,0
42-571-0989,1,1,1
42-571-1516,1,1,1
42-571-1915,1,1,1
42-571-2154,1,1,1
42-571-4171,1,0,0
42-571-6078,1,1,1
42-594-0762,1,1,1
42-596-1391,1,1,1
42-597-3271,1,1,1
42-597-8767,1,1,1
42-598-4057,1,1,1
42-598-4185,1,1,1
42-598-4191,1,1,1
42-598-4201,1,1,1
42-598-4230,1,1,1
42-598-4392,1,0,0
42-598-9546,1,1,1
42-600-2047,1,1,1
42-601-8133,1,1,1
42-601-8139,1,1,1
42-602-1084,1,1,1
42-603-6306,1,1,1
42-603-6309,1,1,1
42-620-9405,0,1,0
42-620-9652,0,1,1
42-620-9990,0,1,1
42-620-9992,0,1,1
42-621-0990,1,1,1
42-661-1379,1,1,1
42-667-7820,1,1,1
42-669-3096,0,1,0
42-682-6895,0,0,1
42-689-9097,1,1,1
42-696-7377,1,1,1
42-713-1912,1,0,0
42-716-0602,1,1,1
42-723-6530,1,1,1
42-725-0200,1,1,1
42-726-4154,1,1,1
42-726-4636,1,1,1
42-726-4795,1,1,0
42-726-4915,1,1,1
42-726-4922,1,1,1
42-726-4931,1,1,1
42-726-4939,1,1,1
42-726-4944,1,1,1
42-726-4946,1,1,1
42-733-8340,1,1,1
42-737-1015,1,1,1
42-737-5926,1,1,0
42-737-8019,1,1,1
42-738-7890,0,1,1
42-750-6276,1,1,1
42-750-6279,1,1,0
42-750-6294,1,1,1
42-754-1342,1,1,1
42-754-4301,1,0,0
42-758-4414,1,1,0
42-772-4991,1,1,1
42-783-4475,1,1,1
42-789-3437,1,1,1
42-792-3150,1,1,0
42-792-7480,1,1,1
42-795-3539,1,1,1
42-798-0142,1,1,1
42-806-7410,1,1,1
42-807-6329,1,0,1
42-809-2693,1,1,1
43-019-9530,1,1,1
43-020-1651,1,1,1
43-021-6204,1,1,0
43-038-3504,1,1,1
43-038-3506,1,1,1
43-038-4067,1,1,1
