IUSA Number,Y2019,Y2020,Y2021,Company Name,Address,City,State,ZIP Code,Primary SIC Description
11-848-5358,1,1,1,Prantl's Bakery,5525 Walnut St,Pittsburgh,PA,15232,Bakers-Retail
11-848-5671,1,1,1,Shadyside Market & Deli,5414 Walnut St,Pittsburgh,PA,15232,Restaurants
11-848-5671,1,1,1,Shadyside Market & Deli,5414 Walnut St,Pittsburgh,PA,15232,
11-848-6349,1,1,1,Wendy's,5422 Baum Blvd,Pittsburgh,PA,15232,Restaurants
11-848-8469,1,1,1,Lindos Restaurant,947 Western Ave # 1,Pittsburgh,PA,15233,Restaurants
11-848-8568,1,1,1,Mc Donald's,801 Allegheny Ave,Pittsburgh,PA,15233,Restaurants
11-848-8972,1,1,1,Peppi's,7619 Penn Ave,Pittsburgh,PA,15221,Restaurants
11-848-9095,1,1,1,Prestogeorge Coffee & Tea,1719 Penn Ave,Pittsburgh,PA,15222,Coffee & Tea Products-Manufacturers
11-848-9095,1,1,1,Prestogeorge Fine Foods,1719 Penn Ave,Pittsburgh,PA,15222,Coffee & Tea Products-Manufacturers
11-848-9095,1,1,1,Prestogeorge Fine Foods,1719 Penn Ave,Pittsburgh,PA,15222,Restaurants
11-848-9269,1,1,1,Riggs Lounge & Restaurant,1204 Brighton Rd,Pittsburgh,PA,15233,Restaurants
11-849-0028,1,1,1,Someone Else's Bar,3841 Willow Ave,Pittsburgh,PA,15234,Bars
11-849-4020,1,1,1,Mc Donald's,225 Mount Lebanon Blvd,Castle Shannon,PA,15234,Restaurants
11-849-4020,1,1,1,Mc Donald's,225 Mount Lebanon Blvd,Pittsburgh,PA,15234,Restaurants
11-849-4467,1,0,0,Nick's Pizza,329 Mount Lebanon Blvd,Pittsburgh,PA,15234,Pizza
11-850-1147,1,1,1,Eat'n Park,11746 Frankstown Rd,Pittsburgh,PA,15235,Restaurants
11-850-3341,1,1,1,Long John Silver's,300 Rodi Rd,Pittsburgh,PA,15235,Restaurants
11-850-5361,1,1,1,Pizza Hut,7301 Saltsburg Rd,Penn Hills,PA,15235,Pizza
11-850-5361,1,1,1,Pizza Hut,7301 Saltsburg Rd,Pittsburgh,PA,15235,Pizza
11-850-7482,1,1,1,Wendy's,208 Rodi Rd,Pittsburgh,PA,15235,Restaurants
11-850-9991,1,1,1,Brass Rail,10 Old Clairton Rd # 11,Pittsburgh,PA,15236,Restaurants
11-851-0270,1,1,1,Frisch's Carrick Poultry,5301 Grove Rd # C530,Pittsburgh,PA,15236,Restaurants
11-851-1229,1,1,1,Dorido's Restaurant,6408 Brownsville Rd,Pittsburgh,PA,15236,Restaurants
11-851-1336,1,1,1,Eat'n Park,5100 Clairton Blvd,Pittsburgh,PA,15236,Restaurants
11-851-1823,1,1,1,Garden Bar Lounge,4912 Gardenville Rd,Pittsburgh,PA,15236,Bars
11-851-2938,2,2,2,KFC,5130 Clairton Blvd,Pittsburgh,PA,15236,Restaurants
11-851-3308,1,1,1,Salvatore's Banquets-Catering,5001 Curry Rd # 5001,Pittsburgh,PA,15236,Convention & Meeting Facilities & Svc
11-851-3951,1,1,1,Myrnas Catering,5134 Clairton Blvd # 1,Pittsburgh,PA,15236,Caterers
11-851-4884,1,1,1,Red Lobster,259 Clairton Blvd,Pittsburgh,PA,15236,Restaurants
11-851-4991,1,1,1,Royal Lounge Restaurant,600 Weyman Rd,Pittsburgh,PA,15236,Restaurants
11-852-3034,1,0,1,Eat'n Park,7370 Mcknight Rd,Pittsburgh,PA,15237,Restaurants
11-852-3778,1,1,0,5 Fools,9566 Perry Hwy,Pittsburgh,PA,15237,Restaurants
11-852-3869,1,1,1,Franklin Inn Mexican Rstrnt,2313 Rochester Rd,Pittsburgh,PA,15237,Restaurants
11-852-5591,2,2,2,KFC,85 Blazier Dr,Pittsburgh,PA,15237,Restaurants
11-852-6201,1,1,1,Luciano's Pizza & Six Pack Inc,1411 Duncan Ave,Pittsburgh,PA,15237,Pizza
11-852-6201,1,1,1,Luciano's Pizza-Six Packs To,1411 Duncan Ave,Pittsburgh,PA,15237,Pizza
11-852-6714,1,1,1,Mc Donald's,4849 Mcknight Rd,Pittsburgh,PA,15237,Restaurants
11-852-7977,1,1,1,Mccandless Npl,8701 Babcock Blvd,Pittsburgh,PA,15237,Restaurants
11-852-7977,1,1,1,North Park Lounge,8701 Babcock Blvd,Pittsburgh,PA,15237,Restaurants
11-852-8934,1,1,1,Perrytowne Drafthouse,1002 Perry Hwy,Pittsburgh,PA,15237,Restaurants
11-852-9338,1,1,1,Pizza Roma,8350 Perry Hwy,Pittsburgh,PA,15237,Pizza
11-852-9338,1,1,1,Pizza Roma,8630 Perry Hwy,Pittsburgh,PA,15237,Pizza
11-852-9742,1,1,1,Red Lobster,4766 Mcknight Rd,Pittsburgh,PA,15237,Restaurants
11-852-9874,1,1,1,Rico's Restaurant,1 Rico Ln,Pittsburgh,PA,15237,Restaurants
11-852-9874,1,1,1,Ricos Restaurant,1 Rico Ln,Pittsburgh,PA,15237,Restaurants
11-853-0013,1,1,1,Rochester Inn & Hardwood Grill,505 Rochester Rd,Pittsburgh,PA,15237,Restaurants
11-853-0013,1,1,1,Rochester Inn & Hardwood Grll,505 Rochester Rd,Pittsburgh,PA,15237,Restaurants
11-853-0013,1,1,1,Rochester Inn Hardwood Grill,505 Rochester Rd,Pittsburgh,PA,15237,Restaurants
11-853-0682,1,1,1,Sir Pizza,320 Sewickley Oakmont Rd,Pittsburgh,PA,15237,Restaurants
11-853-1847,1,1,1,Valliant's Diner,3418 Babcock Blvd,Pittsburgh,PA,15237,Restaurants
11-853-1920,2,2,2,Kelly O's Diner,1130 Perry Hwy # 28,Pittsburgh,PA,15237,Restaurants
11-853-2217,1,1,1,Wendy's,7317 Mcknight Rd,Pittsburgh,PA,15237,Restaurants
